Model,Craton,biasp,Grade,Q4YN,Category,GPMDB_result#,Plon,Plat,poleA95,FROMAGE,TOAGE,plateid,RlonMin,RlatMin,RecEMin,RecEMinAge,Description
M17,W.Africa,27.1,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,7703,-47.3,91.5,42.7,572.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
M17,W.Africa,27.2,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,7703,-47.9,82.0,42.1,526.0,Djebel Boho—pole B2
S21,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,301,-78.1,157.8,11.9,613.0,Egersund dykes
S21,Baltica,4.3,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,301,57.4,87.5,32.6,580.0,
S21,Baltica,57.2,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,301,-27.5,-28.4,62.5,570.0,Kurgashlya formation
S21,Baltica,70.6,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,301,-14.1,-30.7,75.9,570.0,Bakeevo formation
S21,Baltica,47.4,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,301,38.8,68.2,51.2,570.0,Basu Formation (“precise” sites)
S21,Baltica,75.3,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,301,-8.7,132.1,81.3,544.0,Chernokamenskay group sediments
S21,Baltica,45.4,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,301,38.8,69.1,51.2,567.0,Basu-Kukkarauk formation
S21,Baltica,77.0,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,301,-3.1,147.6,86.9,555.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
S21,Baltica,82.8,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,301,3.1,122.3,86.9,551.0,Zigan formation clastic rocks
S21,Laurentia,24.8,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,101,-47.8,64.4,42.2,617.0,
S21,Laurentia,5.6,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,101,-72.4,63.8,17.6,581.0,Baie des Moutons complex—A comp.
S21,Laurentia,69.4,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,101,-5.2,128.2,84.8,581.0,Baie des Moutons complex—B comp.
S21,Laurentia,0.3,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,101,-83.7,-161.1,6.3,580.0,Callander Alkaline Complex
S21,InErr,0.0,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,101,-78.0,-156.5,12.0,577.0,Catoctin Basalts—A comp.
S21,Laurentia,51.2,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,101,-32.1,134.6,57.9,561.0,Sept-Iles Layered Intrusion—A comp.
S21,Rio,70.7,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,202,7.2,-110.4,82.8,578.0,
S21,Rio,12.1,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,202,-64.0,-89.2,26.0,583.0,Sierra de las Animas complex
S21,Congo,43.2,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,701,-39.2,-91.2,50.8,577.0,
